,RouteID,RouteName,RouteDirection,NumOfAlternatives,RouteLength,WeeklyKM,AVGPassengersPerWeek,StationsInRoute,UniqueStations,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),WorkDay - 00:00-03:59,WorkDay - 04:00-05:59,WorkDay - 06:00-08:59,WorkDay - 09:00-11:59,WorkDay - 12:00-14:59,WorkDay - 15:00-18:59,WorkDay - 19:00-23:59,Friday - 00:00-03:59,Friday - 04:00-05:59,Friday - 06:00-08:59,Friday - 09:00-11:59,Friday - 12:00-14:59,Friday - 15:00-18:59,Friday - 19:00-23:59,Saturday - 00:00-03:59,Saturday - 04:00-05:59,Saturday - 06:00-08:59,Saturday - 09:00-11:59,Saturday - 12:00-14:59,Saturday - 15:00-18:59,Saturday - 19:00-23:59,year,Q,AverageSpeed,AverageTripDuration,OperatingCostPerPassenger
RouteID,1.0,-0.46405194129537386,0.008060163086679967,-0.010112659459540489,-0.294452689895154,-0.03815182557705911,0.023588222450816897,-0.140112682051905,0.049932846429189874,0.27993608278850407,0.2755584357403937,0.12692979488819983,0.12265019058981706,-0.017054158913352234,0.01041727948724778,-0.1293432256839367,-0.06015013839668028,-0.07150729339345507,-0.017141534616481203,-0.055069522319861855,-0.08568343857807427,0.4453025003457169,-0.09279302251293234,-0.07723094431361258,-0.06067484637221258,-0.1363899379960044,-0.20650126938767996,0.13316836923879785,0.08311739061527298,0.12170226057361615,-0.27469648482286063,-0.24679302207348386,-0.26088127303945413,-0.255948343966538,-0.19362255739667886,0.003692896303172549,-0.0025699108785916455,-0.27351694381814623,-0.3428197281319911,-0.03667403013136803
RouteName,-0.46405194129537386,1.0,-0.0033289532960540423,-0.009271096243294922,0.5507832236438444,0.08776089514859996,-0.003367581315563804,0.025472648267971555,-0.15022645067740445,-0.29484845262771586,-0.28745907263287096,-0.18755252242568496,-0.181296634654339,0.033321587670802365,-0.06497623532694086,0.10159407906348884,0.03348638281899569,-0.04800332378724155,-0.05296742342229415,-0.012237484271098966,0.07278533539160072,0.009397351944550852,0.06978049683756293,0.07904406698658803,0.04258155847721809,0.07652877330803183,0.22682942693066538,0.20119039255959084,-0.04607378428337145,0.1333150135613798,0.5341121189102753,0.3596119992388512,0.32374776055124754,0.22326542394084795,0.25743357418939333,0.005231205852947109,-0.002827623081618902,0.44114356708833746,0.5253443843538953,0.056309077361453075
RouteDirection,0.008060163086679967,-0.0033289532960540423,1.0,0.007267157452482281,0.025440210931589265,0.0652456717728977,0.0030148025723641145,0.028953777115291658,0.06566011741733721,0.06416989618091284,0.0691052609199988,0.06777785246209932,0.07038027720173275,0.009974692768089172,0.16311287603904506,0.007392845698059996,0.038887410940755526,0.07840328932108297,0.054405901876290595,0.024436895100002406,0.02757039064588679,-0.18819249275050579,-0.00013008079844646083,0.03886874699288771,0.1009294963925861,0.03409571671381076,0.009550631993000833,0.04747658341159164,-0.021573009383693657,0.027675996017934728,0.26884085819036896,0.26959664810546374,0.26770915199793494,0.054144047166612023,0.05504853351761992,-0.0004152640032415539,2.603981707769396e-05,-0.00490422649986221,0.028541185278132784,0.0065592237832795336
NumOfAlternatives,-0.010112659459540489,-0.009271096243294922,0.007267157452482281,1.0,-0.011974369138750674,0.12242969284185068,0.016835016537538154,0.09255739345591363,0.10582041555340152,0.09724033938764429,0.09636061628168217,0.06990907412124164,0.07213311394595681,0.012315834847674416,0.1479914659387097,0.05830594135295741,0.03346752973220791,0.06930109733989329,0.05213694823453186,0.04389537171320707,0.06013925546660536,0.4324892468009386,0.053471790249040606,0.04159991035110417,0.031689743422915674,0.05029384807746501,0.11531948030542262,0.047367486812332237,0.12812239233590642,0.05527014079467745,-0.05115066807650635,0.1217828453828244,0.12876688513654552,0.10970713195025233,0.06136328503751029,-0.006030526687966493,0.004316953051697193,-0.03140145424113419,-0.002605329533964039,-0.036941287692451176
RouteLength,-0.294452689895154,0.5507832236438444,0.025440210931589265,-0.011974369138750674,1.0,0.21488193407970682,-0.07417535707132406,0.19057218020150923,0.002916085623108676,-0.23583179830295756,-0.22671987247082778,-0.14289758489236512,-0.13767761103028728,-0.002756857662360929,-0.031836696539941124,0.06514495756930053,-0.06298654032782411,0.006970706571904357,-0.04735284426699964,-0.00028787822667281256,0.05652910397041829,0.013614304297498088,0.06764839719264687,-0.03592049460803827,-0.00034085826663966123,0.055623315768495996,0.19064043817207296,0.04664294039191044,-0.00135397274877726,0.13728348186553202,-0.03982048695266675,0.047211416472868084,0.010902484981491154,0.1642981020444835,0.21794522799451505,0.0018985284164663048,-0.001198013008175869,0.7428948387260335,0.9139435766883922,0.17629942373627136
WeeklyKM,-0.03815182557705911,0.08776089514859996,0.0652456717728977,0.12242969284185068,0.21488193407970682,1.0,-0.010518187891633717,0.28796232061567734,0.062487343524550355,0.6541184278134569,0.664659875838007,0.5639721954988889,0.568666317129795,0.0586092818947533,0.4089458940969563,0.3645967109701068,0.3239907333483987,0.44712489300128333,0.4442654883266459,0.47800868673816915,0.4424533178198234,0.39505632942284447,0.42740758444047616,0.35038115814766063,0.393485188006223,0.5072818303424264,0.42402701036796486,0.7194408742013337,0.1336621791021147,0.6033781690659709,0.21134838860974617,0.4527207900651701,0.42429715750734087,0.452982750526677,0.3891230873960374,0.019240827463527475,-0.011461008955228925,0.06763106299745031,0.3279370567064591,-0.10538828274463195
AVGPassengersPerWeek,0.023588222450816897,-0.003367581315563804,0.0030148025723641145,0.016835016537538154,-0.07417535707132406,-0.010518187891633717,1.0,-0.034779000227783026,-0.10146822266758466,0.04430703188559933,0.04285541646609639,0.14935048150501667,0.14179783380919625,0.9690902197510839,0.500568883047648,0.4310462944352944,0.5550290841781025,0.6857406273191732,0.16072240821885433,0.5771185569695512,0.6604334140438385,0.31622046843818463,0.5010745981063536,0.6369976054466558,0.14048265705382748,0.5585582602870172,0.3015494508583852,0.49430657786473287,-0.02349902988529953,0.31557175343434923,0.4348901628760919,0.6309487882723176,0.33681677943165894,0.2773155783385172,0.42150918358209055,-0.020900110555683936,0.021174203213169287,-0.29579389918543103,-0.1708495206953384,-0.1603531522154571
StationsInRoute,-0.140112682051905,0.025472648267971555,0.028953777115291658,0.09255739345591363,0.19057218020150923,0.28796232061567734,-0.034779000227783026,1.0,0.09180748656091033,0.1945977881792377,0.19719518786069581,0.2433655416411621,0.24253351040466944,0.05199023158714543,-0.02361240610106734,0.18051468643408888,0.33240766528566856,0.4024730612782547,0.4093355971247004,0.4206657310559378,0.2828471712873047,-0.3778232849464843,0.15999953390454683,0.28582866110472394,0.3273668685251588,0.394085302107496,0.33143165284538184,0.0943613478682744,0.26547041047852044,0.01514871998705173,-0.08149443192391467,0.17647659781530123,0.2052034077774076,0.22923682295401057,0.21852618258867504,0.010001631714278082,-0.0063963458616814045,-0.04837370159748338,0.4292729394623376,-0.06282752114928532
UniqueStations,0.049932846429189874,-0.15022645067740445,0.06566011741733721,0.10582041555340152,0.002916085623108676,0.062487343524550355,-0.10146822266758466,0.09180748656091033,1.0,0.07124852127812979,0.0783349312940359,-0.00889259269545348,-0.0090737572671506,-0.09561583016909347,-0.10575870971410233,-0.12303287265019089,-0.11783761192922496,-0.0823162112651345,-0.06670963914125166,-0.10220422295122876,-0.13013747613517165,-0.08338945816129892,-0.13988809972018193,-0.13649032227659175,-0.12125394453378129,-0.11992267281984115,-0.11428495573015672,-0.004172620848633511,-0.09575611861924985,-0.20851197050674913,-0.21620565777437603,-0.22927965008201545,-0.21213258247657607,-0.18487903786306942,-0.15242781410447295,0.009638504193782687,-0.004585456061314493,-0.013556900618865518,-0.011860206608192503,0.073657148527358
DailyRides(Tuesday),0.27993608278850407,-0.29484845262771586,0.06416989618091284,0.09724033938764429,-0.23583179830295756,0.6541184278134569,0.04430703188559933,0.1945977881792377,0.07124852127812979,1.0,0.9960477066706983,0.8183985096982336,0.8145943433248753,0.07553693963929546,0.3590275479299937,0.3257813155130794,0.44669506374015155,0.5682212970511296,0.5980590658269673,0.5888486034330412,0.46999086126880263,0.4288746699851552,0.42605474669830135,0.42469862185588647,0.49610806530074647,0.5035353143616796,0.23725677645361518,0.5525886274531862,0.05530452421811171,0.5228889804719865,0.20553543273998784,0.3578593591589725,0.3992169001819833,0.2751154805575641,0.2605787025870455,0.02100891138966755,-0.013325641139213135,-0.4013200050132075,-0.09670784665750695,-0.18484354911326195
WeekyRides,0.2755584357403937,-0.28745907263287096,0.0691052609199988,0.09636061628168217,-0.22671987247082778,0.664659875838007,0.04285541646609639,0.19719518786069581,0.0783349312940359,0.9960477066706983,1.0,0.8158385054638199,0.813374372627721,0.07311895348755915,0.37047292572611423,0.32967235193811023,0.44463043945113045,0.5685007737306661,0.5984936239983558,0.5867979607491081,0.47107395246506173,0.4276923238086643,0.42976535734661225,0.422545632407377,0.49545076165500707,0.5062409659704589,0.2520469195811786,0.5469030231170103,0.07938554124154994,0.4987923460239298,0.21158773365927838,0.3689232458304254,0.4128157918246744,0.28284126115038366,0.2656000858156891,0.02011930744634346,-0.011994063716161619,-0.3927653046249474,-0.08879180426650655,-0.18305806295450144
DailyPassengers,0.12692979488819983,-0.18755252242568496,0.06777785246209932,0.06990907412124164,-0.14289758489236512,0.5639721954988889,0.14935048150501667,0.2433655416411621,-0.00889259269545348,0.8183985096982336,0.8158385054638199,1.0,0.9990540300280196,0.20107030329995004,0.5419091094463235,0.5223467431101811,0.6646343607426951,0.7749855743628089,0.7948558586991928,0.79405178102082,0.7221963780358889,0.4723215900062091,0.6327317822378871,0.6651809739779097,0.7257688998512611,0.7225518289350493,0.47565192411426116,0.8279604214404573,0.1262546804252345,0.7022346317384067,0.5906285481493004,0.7787756114301706,0.7683237740904767,0.45289989058597424,0.5269315373013272,0.00024011904805067242,-0.0007371587434380867,-0.3249448593969739,0.01508656600078643,-0.1782017020341361
WeeklyPassengers,0.12265019058981706,-0.181296634654339,0.07038027720173275,0.07213311394595681,-0.13767761103028728,0.568666317129795,0.14179783380919625,0.24253351040466944,-0.0090737572671506,0.8145943433248753,0.813374372627721,0.9990540300280196,1.0,0.1939117448348126,0.5408909160677301,0.5265598053310339,0.6628997301893838,0.774217447739872,0.7933809063557533,0.7913892258285314,0.7208601777501048,0.4711443060337564,0.6355023539166853,0.6666394325620079,0.7285278879054782,0.7282079014438554,0.4925105030981159,0.8298868984543988,0.1430404890672546,0.7008758916853637,0.5964248845531206,0.7865951348863804,0.7759018361418862,0.4683198857925421,0.5348011778011179,-0.001252052550233597,0.0005284878690168331,-0.3194338475691579,0.01848438725921386,-0.1771368359668099
AVGCommutersPerRide(Weekly),-0.017054158913352234,0.033321587670802365,0.009974692768089172,0.012315834847674416,-0.002756857662360929,0.0586092818947533,0.9690902197510839,0.05199023158714543,-0.09561583016909347,0.07553693963929546,0.07311895348755915,0.20107030329995004,0.1939117448348126,1.0,0.649918673974816,0.5362577174068013,0.8722745961667286,0.8754764519219983,0.21330191069242144,0.8844949690894931,0.795332231426009,0.7828937146312906,0.6000028793206951,0.8785288926856851,0.17141524605695443,0.8674095721080087,0.5891707650411858,0.8040982520647814,0.018187748736901745,0.5111623202119896,0.877914420648308,0.9177019209561684,0.8947856061265583,0.5537402628969176,0.7337305342216645,-0.026091083043629233,0.025244952052549587,-0.2572649046267571,0.12261280381279949,-0.30611422510478786
WorkDay - 00:00-03:59,0.01041727948724778,-0.06497623532694086,0.16311287603904506,0.1479914659387097,-0.031836696539941124,0.4089458940969563,0.500568883047648,-0.02361240610106734,-0.10575870971410233,0.3590275479299937,0.37047292572611423,0.5419091094463235,0.5408909160677301,0.649918673974816,1.0,0.2277219181543101,0.4416708141900588,0.5051380534428677,0.4930812019154356,0.5212286055012547,0.6957160454782341,0.42736028972126944,0.6049682365169162,0.5131479635152256,0.46019547856704196,0.4362133390633434,0.14915818819830554,0.06821538165115626,-0.06489062641940799,0.7993839076429657,0.49747327410142916,-0.27833364120724147,-0.3198418058843066,0.08290963336746904,0.6610924547526956,-0.07021668411825281,0.0780515562989049,-0.1590254211185456,0.10491840274328017,-0.25429158431998716
WorkDay - 04:00-05:59,-0.1293432256839367,0.10159407906348884,0.007392845698059996,0.05830594135295741,0.06514495756930053,0.3645967109701068,0.4310462944352944,0.18051468643408888,-0.12303287265019089,0.3257813155130794,0.32967235193811023,0.5223467431101811,0.5265598053310339,0.5362577174068013,0.2277219181543101,1.0,0.5521948742694468,0.5292113280351232,0.49276413216600634,0.513867135720028,0.49979006813368937,0.2858866891721999,0.758271261345186,0.5855048510597411,0.5154018824310121,0.5262481179932514,0.4534594466203848,0.6092435524928642,0.16732981510715103,0.5922210566234746,0.7387563140071717,0.642553946416499,0.5705259351013071,0.3760905232249457,0.4772848769365838,-0.13247703265647823,0.10402017094997747,-0.10912369061419223,0.1822175946364632,-0.1710887183384499
WorkDay - 06:00-08:59,-0.06015013839668028,0.03348638281899569,0.038887410940755526,0.03346752973220791,-0.06298654032782411,0.3239907333483987,0.5550290841781025,0.33240766528566856,-0.11783761192922496,0.44669506374015155,0.44463043945113045,0.6646343607426951,0.6628997301893838,0.8722745961667286,0.4416708141900588,0.5521948742694468,1.0,0.8398893766225675,0.8092989548440886,0.797267965508559,0.7278464125993873,0.6659091051171493,0.5574474932075726,0.8805291151560292,0.7923375749992133,0.7412005712426555,0.514900708407163,0.7660551149147186,0.13814242017410874,0.47794868838354104,0.9134886140110718,0.8434216550175364,0.812486348443571,0.4994042750945849,0.6671170405131337,-0.07131311224548934,0.06542983532257672,-0.35547382981378434,0.13917881682270378,-0.3342317010845088
WorkDay - 09:00-11:59,-0.07150729339345507,-0.04800332378724155,0.07840328932108297,0.06930109733989329,0.006970706571904357,0.44712489300128333,0.6857406273191732,0.4024730612782547,-0.0823162112651345,0.5682212970511296,0.5685007737306661,0.7749855743628089,0.774217447739872,0.8754764519219983,0.5051380534428677,0.5292113280351232,0.8398893766225675,1.0,0.8909508451126151,0.8492289076892254,0.7910319778068705,0.7109289674510784,0.5493743872194913,0.8308033234405449,0.8773865401067392,0.807124002077394,0.580892644729379,0.8504521188479485,0.15295930856118523,0.5670704059031365,0.8292167606775936,0.9074454710884599,0.865318369214434,0.550921858026227,0.7160654183038142,-0.03545910960732042,0.024209493933162116,-0.3430994589394942,0.20630882844954443,-0.3330299174521375
WorkDay - 12:00-14:59,-0.017141534616481203,-0.05296742342229415,0.054405901876290595,0.05213694823453186,-0.04735284426699964,0.4442654883266459,0.16072240821885433,0.4093355971247004,-0.06670963914125166,0.5980590658269673,0.5984936239983558,0.7948558586991928,0.7933809063557533,0.21330191069242144,0.4930812019154356,0.49276413216600634,0.8092989548440886,0.8909508451126151,1.0,0.8834956745204013,0.8364717604364102,0.9209608353791642,0.5756769320223161,0.8019525099774849,0.8298636107673972,0.8379586931171161,0.5597125660962852,0.8222797826998605,0.1327288515593418,0.5195515086909906,0.8033075279687366,0.886704770554666,0.8938679668428089,0.49781737780451546,0.704198578934412,-0.041303704047553284,0.03218811114144265,-0.3481956879641655,0.16967980789678103,-0.32637265215664907
